"GeoFips","GeoName","LineCode","Description","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3"
"51000","Virginia","1","Personal income (millions of dollars, seasonally adjusted)",398734.9,401952.9,402135.2,413895.9,400197.0,401232.5,401336.7,403971.0,411129.0,417013.7,421932.2,427243.5,431878.1,437421.6,440870.0,442921.3,444410.4,447021.2,451113.6,456775.3,461041.6,464936.2,469365.7,474407.1,478402.9,481892.7,487344.0,492107.7,497123.3,499727.1,504460.7,509092.0,515769.5,547011.8,532270.0,533973.5,586034.8,552640.9,557342.3
"51000","Virginia","2","Population (midperiod, persons) 1/",8156690,8176769,8197539,8216385,8231447,8247055,8264158,8280569,8294237,8307925,8323423,8338128,8349201,8360749,8374641,8388396,8399428,8411022,8425474,8440409,8452195,8463985,8477180,8488626,8496553,8505530,8517781,8530633,8540136,8550529,8563151,8575252,8583347,8588604,8594104,8600325,8604790,8610911,8618425
"51000","Virginia","3","Per capita personal income (dollars) 2/",48884,49158,49056,50374,48618,48652,48564,48785,49568,50195,50692,51240,51727,52318,52643,52802,52910,53147,53542,54118,54547,54931,55368,55887,56306,56656,57215,57687,58210,58444,58911,59368,60090,63690,61934,62088,68106,64179,64669
"53000","Washington","1","Personal income (millions of dollars, seasonally adjusted)",319431.3,324773.2,325372.0,337218.9,328722.9,331542.2,336183.4,338606.2,348896.0,356134.2,364020.1,369712.3,375275.0,379570.6,383645.8,386140.9,394914.2,398257.5,402812.6,411112.8,417302.8,422419.4,428696.8,436714.9,446409.0,449889.1,457991.6,462738.3,473521.6,476821.1,481018.1,488002.7,496669.4,533734.5,519835.7,515524.8,569821.4,550063.0,552830.0
"53000","Washington","2","Population (midperiod, persons) 1/",6872679,6889589,6908431,6926861,6941917,6957544,6978453,7002593,7024167,7046003,7072632,7101606,7127237,7153455,7184839,7218992,7250685,7283030,7317043,7350506,7380986,7411604,7441358,7467379,7490174,7514032,7538748,7561779,7581809,7602731,7625982,7649029,7668664,7685747,7702749,7720285,7736762,7754761,7773709
"53000","Washington","3","Per capita personal income (dollars) 2/",46478,47140,47098,48683,47353,47652,48174,48354,49671,50544,51469,52060,52654,53061,53397,53490,54466,54683,55051,55930,56538,56994,57610,58483,59599,59873,60752,61194,62455,62717,63076,63799,64766,69445,67487,66775,73651,70932,71115
"54000","West Virginia","1","Personal income (millions of dollars, seasonally adjusted)",65490.9,66139.4,65552.5,66411.3,65517.2,65636.9,65479.4,65657.6,66405.1,67528.9,68169.4,68954.1,69060.6,69456.0,69251.4,68946.3,68445.7,68542.7,68561.5,68970.5,70707.5,70902.9,71656.7,72323.2,73196.5,74175.5,75589.1,76150.4,76289.4,76440.9,76397.6,76070.0,76647.4,87240.8,78905.5,78422.4,91251.7,82926.3,83308.6
"54000","West Virginia","2","Population (midperiod, persons) 1/",1857328,1857306,1857480,1857212,1855941,1854979,1854470,1853790,1852355,1851065,1850033,1848649,1846273,1844170,1842229,1839797,1836632,1833690,1831002,1827935,1824040,1820290,1817378,1814503,1810765,1807404,1804904,1802547,1799386,1796494,1794410,1792515,1789633,1786411,1783796,1781568,1778133,1775108,1772924
"54000","West Virginia","3","Per capita personal income (dollars) 2/",35261,35610,35291,35759,35301,35384,35309,35418,35849,36481,36848,37300,37405,37662,37591,37475,37267,37380,37445,37731,38764,38951,39429,39858,40423,41040,41880,42246,42397,42550,42575,42438,42829,48836,44235,44019,51319,46716,46989
"55000","Wisconsin","1","Personal income (millions of dollars, seasonally adjusted)",243324.5,245255.9,244138.5,252250.1,245126.1,247482.6,248871.3,249909.4,252761.5,257421.5,259671.8,263536.2,266327.0,268965.8,270985.9,272536.8,272303.6,273122.5,275690.5,276382.0,279741.0,282488.6,286764.1,288905.4,293840.6,295344.1,299270.2,302465.6,305416.5,307394.4,308412.9,311673.7,313599.6,338139.5,319489.8,325779.0,361225.9,336924.1,339216.9
"55000","Wisconsin","2","Population (midperiod, persons) 1/",5715700,5718783,5724075,5729554,5732112,5735486,5740541,5745383,5748087,5751138,5755512,5759145,5759966,5761488,5765212,5769079,5770861,5773278,5778254,5783810,5787016,5790506,5795993,5801021,5803390,5806869,5812043,5816789,5819098,5822288,5827061,5831389,5832860,5832853,5834484,5837390,5837002,5837570,5840560
"55000","Wisconsin","3","Per capita personal income (dollars) 2/",42571,42886,42651,44026,42764,43149,43353,43497,43973,44760,45117,45760,46238,46683,47004,47241,47186,47308,47712,47785,48339,48785,49476,49803,50633,50861,51491,51999,52485,52796,52928,53448,53764,57972,54759,55809,61886,57716,58080
"56000","Wyoming","1","Personal income (millions of dollars, seasonally adjusted)",30517.8,31226.6,30746.5,32307.7,30923.8,31067.0,31258.0,31711.5,32605.0,33405.1,33915.9,34271.4,34173.2,33835.2,33765.7,33272.9,32167.9,31812.9,31756.5,31896.9,32254.0,32808.6,33059.7,33551.6,34071.4,34471.8,34922.0,35298.3,35285.4,35212.9,35485.6,35714.1,35653.5,37505.0,35228.0,35692.5,39582.5,37322.6,37443.3
"56000","Wyoming","2","Population (midperiod, persons) 1/",573272,575512,577517,579111,580443,581852,582749,582992,583010,583076,583678,584599,585249,585971,586326,586109,585705,585356,584677,583471,582027,580611,579950,579830,579428,579127,579279,579630,579763,579955,580530,581287,581779,582157,582693,583332,583653,584090,584763
"56000","Wyoming","3","Per capita personal income (dollars) 2/",53234,54259,53239,55788,53276,53393,53639,54394,55925,57291,58107,58624,58391,57742,57589,56769,54922,54348,54315,54667,55417,56507,57004,57864,58802,59524,60285,60898,60862,60717,61126,61440,61284,64424,60457,61187,67819,63899,64032
"Legend / Footnotes:"
"1/ Midquarter population estimates by state are derived by BEA based on unpublished Census Bureau estimates of beginning-of-month population. Quarterly estimates for 2010-2021 reflect unpublished monthly population estimates available as of February 2021. These population estimates are based on the 2010 census. BEA will incorporate Census Bureau population estimates based on the 2020 census results when they become available."
"2/ Per capita personal income is total personal income divided by total quarterly population estimates. BEA state per capita personal income statistics are calculated using BEA derived midquarter population estimates based on unpublished Census Bureau estimates of beginning-of-month population. These midquarter estimates are based on the 2010 census. BEA will incorporate Census Bureau population estimates based on the 2020 census results when they become available."
"* Estimates prior to 1950 are not available for Alaska and Hawaii."
"Note. Millions of dollars, seasonally adjusted at annual rates. All dollar estimates are in current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"Last updated: February 3, 2022-- revised statistics for 2016:Q1-2021:Q3."
